,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
514,Fran García,22,"Aug 14, 1999",Spain,RAYO VALLECANO,,Left-Back,7.5,39,1,1,3419,0,0,1.69,"Jul 13, 2021","Jun 30, 2025",/fran-garcia/profil/spieler/341264
516,Iván Balliu,30,"Jan 1, 1992 ",Albania,RAYO VALLECANO,,Right-Back,2.0,40,1,3,3534,0,0,1.72,"Jul 14, 2021","Jun 30, 2025",/ivan-balliu/profil/spieler/85295
517,Mario Hernández,23,"Jan 25, 1999",Spain,RAYO VALLECANO,,Right-Back,0.8,12,1,0,667,0,0,1.77,"Jan 1, 2019","Jun 30, 2023",/mario-hernandez/profil/spieler/608531
518,Santi Comesaña,25,"Oct 5, 1996 ",Spain,RAYO VALLECANO,,Central Midfield,4.0,41,1,2,3104,0,0,1.88,"Jul 16, 2016","Jun 30, 2023",/santi-comesana/profil/spieler/380598
520,Óscar Valentín,27,"Aug 20, 1994",Spain,RAYO VALLECANO,,Central Midfield,3.0,42,0,0,3037,0,0,1.77,"Jul 1, 2019","Jun 30, 2025",/oscar-valentin/profil/spieler/517753
521,Pathé Ciss,28,"Mar 16, 1994",Senegal,RAYO VALLECANO,,Central Midfield,2.0,36,3,1,1345,0,0,1.86,"Jul 28, 2021","Jun 30, 2025",/pathe-ciss/profil/spieler/525578
522,Manu Navarro,21,"Oct 9, 2000 ",Spain,RAYO VALLECANO,,Central Midfield,,-,0,0,0,0,0,-,-,"Jun 30, 2023",/manu-navarro/profil/spieler/629020
523,Randy Nteka,24,"Dec 6, 1997 ",France,RAYO VALLECANO,,Attacking Midfield,4.0,39,3,2,1674,0,0,1.89,"Jul 28, 2021","Jun 30, 2023",/randy-nteka/profil/spieler/560483
524,Óscar Trejo,34,"Apr 26, 1988",Argentina,RAYO VALLECANO,,Attacking Midfield,3.0,38,4,9,2372,0,0,1.8,"Jul 1, 2017","Jun 30, 2024",/oscar-trejo/profil/spieler/30321
526,Álvaro García,29,"Oct 27, 1992",Spain,RAYO VALLECANO,,Left Winger,6.0,39,8,6,3264,0,0,1.67,"Aug 23, 2018","Jun 30, 2026",/alvaro-garcia/profil/spieler/257062
528,Bebé,31,"Jul 12, 1990",Cape Verde,RAYO VALLECANO,,Left Winger,0.8,36,2,3,1219,0,0,1.9,"Aug 31, 2018","Jun 30, 2023",/bebe/profil/spieler/153427
529,Álvaro Aguirre,22,"Feb 3, 2000 ",Spain,RAYO VALLECANO,,Left Winger,,1,0,0,8,0,0,-,-,"Jun 30, 2023",/alvaro-aguirre/profil/spieler/888694
530,Alejandro Asensio,21,"Sep 14, 2000",Spain,RAYO VALLECANO,,Left Winger,,2,0,0,11,0,0,-,-,"Jun 30, 2023",/alejandro-asensio/profil/spieler/891075
531,Isi Palazón,27,"Dec 27, 1994",Spain,RAYO VALLECANO,,Right Winger,3.0,40,2,4,2664,0,0,1.69,"Jan 23, 2020","Jun 30, 2025",/isi-palazon/profil/spieler/362086
533,Radamel Falcao,36,"Feb 10, 1986",Colombia,RAYO VALLECANO,,Centre-Forward,2.0,28,6,0,963,0,0,1.77,"Sep 4, 2021","Jun 30, 2023",/radamel-falcao/profil/spieler/39152
538,Pablo Montero,20,"May 9, 2002 ",Spain,GETAFE,,Midfield,,2,0,0,28,0,0,1.68,-,"Jun 30, 2023",/pablo-montero/profil/spieler/889717
539,Diego López,20,"Oct 21, 2001",Spain,GETAFE,,Midfield,,-,0,0,0,0,0,-,-,"Jun 30, 2023",/diego-lopez/profil/spieler/891091
540,David Soria,29,"Apr 4, 1993 ",Spain,GETAFE,,Goalkeeper,8.0,38,0,0,3415,41,14,1.92,"Jul 13, 2018","Jun 30, 2023",/david-soria/profil/spieler/226012
542,Diego Conde,23,"Oct 28, 1998",Spain,GETAFE,,Goalkeeper,0.3,1,0,0,5,0,1,1.88,"Jul 28, 2021","Jun 30, 2024",/diego-conde/profil/spieler/341713
543,Djené,30,"Dec 31, 1991",Togo,GETAFE,,Centre-Back,10.0,35,0,1,3117,0,0,1.78,"Jul 24, 2017","Jun 30, 2025",/djene/profil/spieler/221150
546,Stefan Mitrović,32,"May 22, 1990",Serbia,GETAFE,,Centre-Back,1.8,32,1,0,2671,0,0,1.89,"Jul 6, 2021","Jun 30, 2024",/stefan-mitrovi%C4%87/profil/spieler/143029
549,Gastón Álvarez,22,"Mar 24, 2000",Uruguay,GETAFE,,Centre-Back,0.5,-,0,0,0,0,0,1.84,"Jan 28, 2022","Jun 30, 2023",/gaston-alvarez/profil/spieler/577486
550,Álvaro López,23,"Jun 7, 1999 ",Spain,GETAFE,,Centre-Back,,1,0,0,52,0,0,-,-,"Jun 30, 2023",/alvaro-lopez/profil/spieler/783873
551,Chinchu,20,"Mar 5, 2002 ",Spain,GETAFE,,Centre-Back,,-,0,0,0,0,0,-,-,"Jun 30, 2023",/chinchu/profil/spieler/857939
552,Marc Cucurella,23,"Jul 22, 1998",Spain,GETAFE,,Left-Back,28.0,39,1,2,3290,0,0,1.73,"Jul 1, 2020","Jun 30, 2028",/marc-cucurella/profil/spieler/284857
555,Koffi,20,"Nov 20, 2001",Ghana,GETAFE,,Left-Back,0.2,4,0,1,168,0,0,-,-,"Jun 30, 2023",/koffi/profil/spieler/809639
556,Juan Iglesias,23,"Jul 3, 1998 ",Spain,GETAFE,,Right-Back,1.5,22,0,1,889,0,0,1.87,"Jul 1, 2021","Jun 30, 2026",/juan-iglesias/profil/spieler/390688
557,Damián Suárez,34,"Apr 27, 1988",Uruguay,GETAFE,,Right-Back,1.5,35,0,3,2718,0,0,1.73,"Jul 8, 2015","Jun 30, 2023",/damian-suarez/profil/spieler/76746
562,Ángel Algobia,23,"Jun 23, 1999",Spain,GETAFE,,Defensive Midfield,0.1,1,0,0,84,0,0,1.88,"Aug 11, 2022","Jun 30, 2023",/angel-algobia/profil/spieler/638589
563,Mauro Arambarri,26,"Sep 30, 1995",Uruguay,GETAFE,,Central Midfield,15.0,31,0,5,2667,0,0,1.75,"Jul 1, 2018","Jun 30, 2028",/mauro-arambarri/profil/spieler/290249
564,Nemanja Maksimović,27,"Jan 26, 1995",Serbia,GETAFE,,Central Midfield,14.0,35,1,2,2943,0,0,1.84,"Jul 16, 2018","Jun 30, 2024",/nemanja-maksimovi%C4%87/profil/spieler/273152
565,Carles Aleñá,24,"Jan 5, 1998 ",Spain,GETAFE,,Central Midfield,9.0,33,1,2,2338,0,0,1.8,"Jul 10, 2021","Jun 30, 2026",/carles-alena/profil/spieler/284854
