,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
662,Rafael Ratão,26,"Nov 30, 1995",Brazil,TOULOUSE,,Left Winger,1.8,39,16,4,2190,0,0,1.83,"Aug 31, 2021","Jun 30, 2024",/rafael-ratao/profil/spieler/289802
663,Junior Flemmings,26,"Jan 16, 1996",Jamaica,TOULOUSE,,Left Winger,0.4,9,5,0,562,0,0,1.8,"Jan 5, 2022","Jun 30, 2023",/junior-flemmings/profil/spieler/354664
664,Amine Adli,22,"May 10, 2000",France,TOULOUSE,,Right Winger,12.0,35,4,4,1928,0,0,1.74,"Jul 1, 2019","Jun 30, 2026",/amine-adli/profil/spieler/532776
666,Janis Antiste,19,"Aug 18, 2002",France,TOULOUSE,,Centre-Forward,4.0,22,1,0,966,0,0,1.83,"Jul 1, 2020","Jun 30, 2023",/janis-antiste/profil/spieler/538974
667,Rhys Healey,27,"Dec 6, 1994 ",England,TOULOUSE,,Centre-Forward,3.0,37,22,4,2820,0,0,1.8,"Aug 27, 2020","Jun 30, 2023",/rhys-healey/profil/spieler/238185
668,Ado Onaiwu,26,"Nov 8, 1995 ",Japan,TOULOUSE,,Centre-Forward,1.5,43,12,4,2799,0,0,1.8,"Jul 20, 2021","Jun 30, 2024",/ado-onaiwu/profil/spieler/308133
669,Yanis Begraoui,20,"Jul 4, 2001 ",France,TOULOUSE,,Centre-Forward,0.6,35,8,2,1184,0,0,1.79,"Aug 6, 2021","Jun 30, 2023",/yanis-begraoui/profil/spieler/569376
670,Stéphane Zobo,21,"Aug 2, 2000 ",Cameroon,TOULOUSE,,Centre-Forward,0.15,23,7,1,1859,0,0,1.82,"Jul 1, 2019",-,/stephane-zobo/profil/spieler/690797
671,Benjamin Leroy,33,"Apr 7, 1989 ",France,AJACCIO,,Goalkeeper,0.8,32,0,0,2745,16,20,1.84,"Jul 1, 2018","Jun 30, 2023",/benjamin-leroy/profil/spieler/124901
672,François-Joseph Sollacaro,28,"Mar 21, 1994",France,AJACCIO,,Goalkeeper,0.3,12,0,0,1035,4,8,1.82,"Jul 1, 2018","Jun 30, 2024",/francois-joseph-sollacaro/profil/spieler/331977
673,Ghjuvanni Quilichini,19,"Sep 1, 2002 ",France,AJACCIO,,Goalkeeper,0.1,5,0,0,450,7,1,1.82,"Jul 1, 2021","Jun 30, 2023",/ghjuvanni-quilichini/profil/spieler/855050
674,Sacha Contena,16,"Oct 4, 2005 ",France,AJACCIO,,Goalkeeper,0.05,-,0,0,0,0,0,-,-,-,/sacha-contena/profil/spieler/987302
675,Oumar Gonzalez,24,"Feb 25, 1998",Cameroon,AJACCIO,,Centre-Back,2.5,34,3,0,2821,0,0,1.86,"Jul 1, 2021","Jun 30, 2023",/oumar-gonzalez/profil/spieler/388795
677,Cédric Avinel,35,"Sep 11, 1986",Guadeloupe,AJACCIO,,Centre-Back,0.3,28,0,0,2282,0,0,1.87,"Jul 1, 2017","Jun 30, 2023",/cedric-avinel/profil/spieler/44421
678,Ismaël Diallo,25,"Jan 29, 1997",Cote d'Ivoire,AJACCIO,,Left-Back,1.5,25,0,2,2172,0,0,1.78,"Jul 1, 2018","Jun 30, 2023",/ismael-diallo/profil/spieler/375881
679,Matthieu Huard,24,"May 9, 1998 ",France,AJACCIO,,Left-Back,0.45,13,0,1,640,0,0,1.78,"Jul 18, 2019","Jun 30, 2024",/matthieu-huard/profil/spieler/588997
680,Chaker Alhadhur,30,"Dec 4, 1991 ",Comoros,AJACCIO,,Left-Back,0.3,3,0,0,183,0,0,1.72,"Oct 12, 2021","Jun 30, 2023",/chaker-alhadhur/profil/spieler/178540
681,Théo Emmanuelli,22,"Jan 31, 2000",France,AJACCIO,,Left-Back,0.1,10,1,0,851,0,0,1.8,-,-,/theo-emmanuelli/profil/spieler/830255
683,Mohamed Youssouf,34,"Mar 26, 1988",Comoros,AJACCIO,,Right-Back,0.3,28,0,0,2109,0,0,1.69,"Jul 1, 2018","Jun 30, 2023",/mohamed-youssouf/profil/spieler/57482
