,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
113,Stefan Posch,25,"May 14, 1997",Austria,HOFFENHEIM,out,Centre-Back,7.0,31,2,0,2427,0,0,1.9,/stefan-posch/profil/spieler/223974,"Jul 1, 2020","Jun 30, 2023"
114,Diadié Samassékou,26,"Jan 11, 1996",Mali,HOFFENHEIM,out,Defensive Midfield,10.0,25,2,1,1694,0,0,1.77,/diadie-samassekou/profil/spieler/315604,"Jul 1, 2020","Jun 30, 2023"
115,Justin Che,18,"Nov 18, 2003",United States,HOFFENHEIM,out,Right-Back,3.0,8,0,0,579,0,0,1.85,/justin-che/profil/spieler/796429,"Jul 25, 2018","Jun 30, 2023"
116,Florian Grillitsch,26,"Aug 7, 1995 ",Austria,HOFFENHEIM,out,Defensive Midfield,10.0,18,0,0,1495,0,0,1.87,/florian-grillitsch/profil/spieler/195736,"Aug 15, 2019","Jun 30, 2023"
117,Havard Nordtveit,32,"Jun 21, 1990",Norway,HOFFENHEIM,out,Centre-Back,0.6,12,0,0,359,0,0,1.88,/havard-nordtveit/profil/spieler/42234,"Jan 18, 2023","Jun 30, 2023"
118,Chris Richards,22,"Mar 28, 2000",United States,HOFFENHEIM,"End of loanJun 30, 2022",Centre-Back,12.0,23,1,1,1525,0,0,1.88,/chris-richards/profil/spieler/578539,"Jul 1, 2017",-
119,Breel Embolo,25,"Feb 14, 1997",Switzerland,BORUSSIA MÖNCHENGLADBACH,12.5,Centre-Forward,20.0,31,11,6,2283,0,0,1.87,/breel-embolo/profil/spieler/237662,"Jul 1, 2017","Jun 30, 2023"
120,László Bénes,24,"Sep 9, 1997 ",Slovakia,BORUSSIA MÖNCHENGLADBACH,1.5,Central Midfield,2.2,14,0,1,311,0,0,1.81,/laszlo-benes/profil/spieler/243188,"Aug 31, 2021","Jun 30, 2027"
121,Matthias Ginter,28,"Jan 19, 1994",Germany,BORUSSIA MÖNCHENGLADBACH,out,Centre-Back,20.0,31,1,0,2628,0,0,1.91,/matthias-ginter/profil/spieler/124502,"Jul 1, 2019","Jun 30, 2026"
122,Andreas Poulsen,22,"Oct 13, 1999",Denmark,BORUSSIA MÖNCHENGLADBACH,out,Left-Back,0.45,8,1,0,321,0,0,1.88,/andreas-poulsen/profil/spieler/345746,"Jul 1, 2016","Jun 30, 2026"
