,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
557,Lorenco Simic,26,"Jul 15, 1996",Croatia,LECCE,out,Centre-Back,0.75,15,1,0,779,0,0,1.95,/lorenco-simic/profil/spieler/226093,"Jan 17, 2022","Jun 30, 2024"
558,Roberto Pierno,21,"Feb 14, 2001",Italy,LECCE,out,Right Midfield,0.25,34,3,6,2958,0,0,1.8,/roberto-pierno/profil/spieler/542570,"Sep 1, 2020","Jun 30, 2023"
559,Alessio Piazza,20,"Jan 28, 2002",Italy,LECCE,out,Left Winger,0.01,4,0,0,45,0,0,1.83,/alessio-piazza/profil/spieler/673148,"Jun 30, 2020","Jun 30, 2024"
560,Ilario Monterisi,20,"Dec 19, 2001",Italy,LECCE,out,Centre-Back,0.25,21,2,0,1637,0,0,1.9,/ilario-monterisi/profil/spieler/550116,"Sep 1, 2020","Jun 30, 2023"
561,Fabio Lucioni,34,"Sep 25, 1987",Italy,LECCE,out,Centre-Back,0.6,39,1,2,3450,0,0,1.85,/fabio-lucioni/profil/spieler/160561,"Jul 20, 2018","Jun 30, 2023"
563,Antonino Ragusa,32,"Mar 27, 1990",Italy,LECCE,out,Left Winger,0.4,16,2,1,465,0,0,1.83,/antonino-ragusa/profil/spieler/102470,"Jan 30, 2022","Jun 30, 2024"
567,Francesco Deli,27,"Jul 17, 1994",Italy,CREMONESE,out,Central Midfield,0.175,21,1,0,614,0,0,1.82,/francesco-deli/profil/spieler/288896,"Jul 17, 2019","Jun 30, 2024"
568,Riccardo Collodel,23,"Nov 10, 1998",Italy,CREMONESE,out,Central Midfield,0.25,19,4,1,1605,0,0,1.81,/riccardo-collodel/profil/spieler/394373,"Jul 10, 2021","Jun 30, 2026"
569,Daniel Frey,20,"Feb 27, 2002",Italy,CREMONESE,out,Right-Back,0.05,0,0,0,0,0,0,1.75,/daniel-frey/profil/spieler/623441,"Aug 6, 2021","Jun 30, 2023"
570,Matteo Ghisolfi,20,"May 25, 2002",Italy,CREMONESE,out,Attacking Midfield,0.1,11,0,0,296,0,0,1.9,/matteo-ghisolfi/profil/spieler/604630,"Sep 1, 2020","Jun 30, 2023"
571,Filippo Nardi,24,"Mar 3, 1998 ",Italy,CREMONESE,out,Central Midfield,0.4,18,0,1,716,0,0,1.75,/filippo-nardi/profil/spieler/404969,"Jul 1, 2021","Jun 30, 2023"
572,Joshua Tenkorang,22,"May 26, 2000",Italy,CREMONESE,out,Central Midfield,0.2,31,5,4,2139,0,0,1.84,/joshua-tenkorang/profil/spieler/527180,"Jul 1, 2022","Jun 30, 2027"
573,Marco Zunno,21,"May 5, 2001 ",Italy,CREMONESE,out,Left Winger,0.1,13,0,0,583,0,0,1.77,/marco-zunno/profil/spieler/479158,"Aug 11, 2021","Jun 30, 2023"
574,Fausto Perseu,19,"Dec 17, 2002",Italy,CREMONESE,out,Defensive Midfield,0.05,7,0,0,159,0,0,1.79,/fausto-perseu/profil/spieler/619323,"Aug 1, 2021","Jun 30, 2025"
575,Francesco Cerretelli,22,"Jan 21, 2000",Italy,CREMONESE,out,Central Midfield,0.05,23,2,3,978,0,0,1.85,/francesco-cerretelli/profil/spieler/459231,"Jul 27, 2021","Jun 30, 2023"
576,Alessandro Fiordaliso,23,"Mar 20, 1999",Italy,CREMONESE,out,Right-Back,0.35,4,0,0,169,0,0,1.84,/alessandro-fiordaliso/profil/spieler/386447,"Sep 25, 2020","Jun 30, 2025"
577,Emanuele Terranova,35,"Apr 14, 1987",Italy,CREMONESE,out,Centre-Back,0.225,32,3,0,2744,0,0,1.83,/emanuele-terranova/profil/spieler/61770,"Aug 17, 2018","Jun 30, 2024"
578,Samuel Di Carmine,33,"Sep 29, 1988",Italy,CREMONESE,out,Centre-Forward,0.5,33,5,1,1518,0,0,1.87,/samuel-di-carmine/profil/spieler/45389,"Aug 24, 2021","Jun 30, 2023"
579,Paolo Bartolomei,33,"Aug 22, 1989",Italy,CREMONESE,out,Central Midfield,0.4,21,0,0,953,0,0,1.83,/paolo-bartolomei/profil/spieler/281900,"Jan 11, 2021","Jun 30, 2024"
580,Luca Munaretti,20,"Jun 23, 2002",Italy,CREMONESE,out,Centre-Back,0.1,18,0,0,1051,0,0,1.84,/luca-munaretti/profil/spieler/619324,"Aug 5, 2021","Jun 30, 2023"
582,Luca Ravanelli,25,"Jan 6, 1997 ",Italy,CREMONESE,out,Centre-Back,0.8,18,0,0,1518,0,0,1.87,/luca-ravanelli/profil/spieler/312341,"Jul 7, 2021","Jun 30, 2023"
583,Luca Strizzolo,30,"Apr 29, 1992",Italy,CREMONESE,out,Centre-Forward,0.5,23,4,3,904,0,0,1.88,/luca-strizzolo/profil/spieler/155802,"Jan 22, 2019","Jun 30, 2023"
584,Dennis Politic,22,"Mar 5, 2000 ",Romania,CREMONESE,out,Right Winger,0.2,19,5,4,837,0,0,1.85,/dennis-politic/profil/spieler/470152,"Jan 21, 2022","May 31, 2023"
585,Cedric Gondo,25,"Nov 25, 1996",Cote d'Ivoire,CREMONESE,out,Centre-Forward,0.9,30,2,3,1213,0,0,1.87,/cedric-gondo/profil/spieler/213854,"Jan 30, 2022","Jun 30, 2023"
