,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
83,Davide Costanzo,19,"Jul 4, 2002 ",Italy,NAPOLI,,Centre-Back,0.125,34,1,0,2883,0,0,1.82,-,"Jun 30, 2023",/davide-costanzo/profil/spieler/618505
84,Benedetto Barba,19,"Jan 27, 2003",Italy,NAPOLI,,Centre-Back,0.075,35,0,1,2969,0,0,-,-,-,/benedetto-barba/profil/spieler/582354
85,Jonathan Spedalieri,20,"Jan 26, 2002",Italy,NAPOLI,,Centre-Back,0.05,11,0,0,585,0,0,1.92,-,"Jun 30, 2023",/jonathan-spedalieri/profil/spieler/616142
86,Mário Rui,31,"May 27, 1991",Portugal,NAPOLI,,Left-Back,8.0,39,0,6,3307,0,0,1.68,"Jan 3, 2018","Jun 30, 2025",/mario-rui/profil/spieler/87884
88,Giovanni Di Lorenzo,28,"Aug 4, 1993 ",Italy,NAPOLI,,Right-Back,25.0,42,1,7,3713,0,0,1.83,"Jul 1, 2019","Jun 30, 2026",/giovanni-di-lorenzo/profil/spieler/169880
89,Alessandro Zanoli,21,"Oct 3, 2000 ",Italy,NAPOLI,,Right-Back,4.0,14,0,0,531,0,0,1.88,"Sep 1, 2020","Jun 30, 2023",/alessandro-zanoli/profil/spieler/397225
91,Moussa Mané,18,"Nov 19, 2003",Italy,NAPOLI,,Right-Back,0.025,16,0,1,1107,0,0,1.82,-,"Jun 30, 2023",/moussa-mane/profil/spieler/877620
92,Stanislav Lobotka,27,"Nov 25, 1994",Slovakia,NAPOLI,,Defensive Midfield,20.0,26,1,0,1882,0,0,1.7,"Jan 15, 2020","Jun 30, 2025",/stanislav-lobotka/profil/spieler/192735
93,Diego Demme,30,"Nov 21, 1991",Germany,NAPOLI,,Defensive Midfield,8.0,25,1,0,1038,0,0,1.7,"Jan 11, 2020","Jun 30, 2024",/diego-demme/profil/spieler/82070
96,Piotr Zielinski,28,"May 20, 1994",Poland,NAPOLI,,Central Midfield,40.0,42,8,5,2613,0,0,1.8,"Aug 4, 2016","Jun 30, 2024",/piotr-zielinski/profil/spieler/181136
98,Eljif Elmas,22,"Sep 24, 1999",North Macedonia,NAPOLI,,Central Midfield,24.0,46,7,6,2338,0,0,1.82,"Jul 24, 2019","Jun 30, 2025",/eljif-elmas/profil/spieler/400489
100,Antonio Vergara,19,"Jan 16, 2003",Italy,NAPOLI,,Attacking Midfield,0.15,29,2,13,2066,0,0,1.82,-,-,/antonio-vergara/profil/spieler/703245
102,Antonio Cioffi,19,"Dec 19, 2002",Italy,NAPOLI,,Left Winger,0.5,31,5,0,2065,0,0,1.8,-,-,/antonio-cioffi/profil/spieler/566936
103,Hirving Lozano,26,"Jul 30, 1995",Mexico,NAPOLI,,Right Winger,30.0,37,6,6,1997,0,0,1.75,"Aug 23, 2019","Jun 30, 2024",/hirving-lozano/profil/spieler/316889
104,Matteo Politano,28,"Aug 3, 1993 ",Italy,NAPOLI,,Right Winger,20.0,39,5,7,1906,0,0,1.71,"Jul 1, 2021","Jun 30, 2025",/matteo-politano/profil/spieler/165895
107,Victor Osimhen,23,"Dec 29, 1998",Nigeria,NAPOLI,,Centre-Forward,65.0,32,18,6,2314,0,0,1.86,"Sep 1, 2020","Jun 30, 2025",/victor-osimhen/profil/spieler/401923
110,Wojciech Szczesny,32,"Apr 18, 1990",Poland,JUVENTUS,,Goalkeeper,15.0,40,0,0,3600,39,15,1.96,"Jul 19, 2017","Jun 30, 2024",/wojciech-szczesny/profil/spieler/44058
111,Mattia Perin,29,"Nov 10, 1992",Italy,JUVENTUS,,Goalkeeper,4.0,12,0,0,1095,15,4,1.88,"Jul 1, 2018","Jun 30, 2025",/mattia-perin/profil/spieler/110923
112,Franco Israel,22,"Apr 22, 2000",Uruguay,JUVENTUS,,Goalkeeper,1.0,39,0,0,3540,39,12,1.9,-,"Jun 30, 2027",/franco-israel/profil/spieler/492319
113,Carlo Pinsoglio,32,"Mar 16, 1990",Italy,JUVENTUS,,Goalkeeper,0.4,1,0,0,44,1,0,1.94,"Jul 1, 2014","Jun 30, 2023",/carlo-pinsoglio/profil/spieler/75411
114,Zsombor Senkó,19,"Jan 4, 2003 ",Hungary,JUVENTUS,,Goalkeeper,0.2,38,0,0,3420,50,9,1.96,-,-,/zsombor-senko/profil/spieler/663519
115,Marco Raina,20,"May 25, 2002",Italy,JUVENTUS,,Goalkeeper,0.05,-,0,0,0,0,0,1.91,-,"Jun 30, 2023",/marco-raina/profil/spieler/494301
117,Leonardo Bonucci,35,"May 1, 1987 ",Italy,JUVENTUS,,Centre-Back,6.0,34,5,0,2816,0,0,1.9,"Aug 2, 2018","Jun 30, 2024",/leonardo-bonucci/profil/spieler/39983
118,Daniele Rugani,27,"Jul 29, 1994",Italy,JUVENTUS,,Centre-Back,3.5,18,1,0,1263,0,0,1.9,"Feb 1, 2015","Jun 30, 2024",/daniele-rugani/profil/spieler/162959
119,Koni De Winter,20,"Jun 12, 2002",Belgium,JUVENTUS,,Centre-Back,2.2,34,2,0,2505,0,0,1.91,-,"Jun 30, 2023",/koni-de-winter/profil/spieler/490384
121,Diego Stramaccioni,21,"Jan 2, 2001 ",Italy,JUVENTUS,,Centre-Back,0.35,21,0,0,1460,0,0,1.9,-,"Jun 30, 2023",/diego-stramaccioni/profil/spieler/536341
123,Alex Sandro,31,"Jan 26, 1991",Brazil,JUVENTUS,,Left-Back,6.0,40,2,2,2805,0,0,1.81,"Aug 20, 2015","Jun 30, 2023",/alex-sandro/profil/spieler/79960
124,Danilo,30,"Jul 15, 1991",Brazil,JUVENTUS,,Right-Back,13.0,31,2,3,2627,0,0,1.84,"Aug 7, 2019","Jun 30, 2025",/danilo/profil/spieler/145707
125,Mattia De Sciglio,29,"Oct 20, 1992",Italy,JUVENTUS,,Right-Back,6.0,29,1,3,1891,0,0,1.83,"Jul 20, 2017","Jun 30, 2025",/mattia-de-sciglio/profil/spieler/88682
